Customer Name,Customer_Address,Company Name,Claim Reason,Data confidentiality,Claim Amount,Category Premium,Premium Ratio,Claim Request output,BMI,Churn
Holly Bernard,"3991 Gonzalez Estate,North Paulville, WY 43857","Wright, Brown and Mccarthy",Other,Very low,73,399,0.182957393,No,27,No
Maurice Lewis,"048 Sandoval Dale,Timothyside, WV 43356","Huff, Thomas and Coffey",Medical,High,1569,14390,0.109034051,No,23,Yes
Daniel Rubio,"6637 Wells Summit Apt. 468,North Jeffrey, RI 00734",Davis PLC,Travel,Low,307,4794,0.064038381,No,24,Yes
Scott Sullivan,"73201 Torres Pass Apt. 891,West Leslie, MT 01536",Murphy-Vega,Medical,High,1380,14390,0.095899931,No,24,Yes
Jennifer Tanner,"83694 Kevin Gardens Apt. 162,South Robert, MD 88456","Espinoza, Beasley and Deleon",Travel,Low,547,4794,0.11410096,No,20,Yes
Lori Compton,"Unit 6566 Box 8459,DPO AP 88812",Gaines-Anderson,Other,Very low,72,399,0.180451128,No,25,No
Mandy Wilson,"PSC 6951, Box 4239,APO AA 56167",Johnson PLC,Phone,Medium,226,1875,0.120533333,No,24,Yes
Carla Trujillo,"8255 Tucker Drives Suite 401,Lake Kevin, AZ 27946",Grant Inc,Travel,Low,899,4794,0.187526074,No,19,Yes
Terry Sanchez,"33504 Daniel Dale Apt. 522,Devinberg, LA 48422","Miller, Carter and Williams",Medical,High,1533,14390,0.106532314,No,22,Yes
Clayton Hamilton,"133 Vanessa Groves Suite 596,Jenkinsberg, MT 61646","Smith, Gonzalez and Horne",Medical,High,1583,14390,0.110006949,No,19,Yes
Stephen Johnson,"249 Shields Island,North Johnland, RI 49630","Miller, Lozano and Spence",Travel,Low,485,4794,0.101168127,No,20,Yes
Carla Rios,"391 Moreno Way,Carsonville, ND 06890",Vargas Group,Phone,Medium,247,1875,0.131733333,No,25,No
Charles Kennedy,"189 Adam Pike Apt. 637,Brendanhaven, PA 52029",Rojas Group,Medical,High,1968,14390,0.13676164,No,27,No
Michael Drake,"444 Wendy Pike,North Richardfurt, HI 13731",Reynolds and Sons,Other,Very low,73,399,0.182957393,No,19,Yes
Brendan Bailey,"PSC 2826, Box 8053,APO AE 05955",Robles-Olson,Phone,Medium,258,1875,0.1376,No,26,No
Anthony Moore,"294 Hernandez Crest Apt. 522,North Isabella, MS 71333",Sullivan Group,Phone,Medium,252,1875,0.1344,No,28,No
Alexis Wells,"61612 Brandon Well Suite 500,East Timothymouth, WA 95628","Howard, Gray and Henson",Medical,High,1665,14390,0.115705351,No,19,Yes
Debbie Logan,"8145 Rogers Manors Suite 972,Jeremyborough, DC 46116","Hughes, Jordan and Moore",Phone,Medium,237,1875,0.1264,No,24,Yes
John Peters,"898 Theodore Square Suite 103,Annetteshire, MA 46599",Hartman PLC,Medical,High,2143,14390,0.148922863,No,21,Yes
Lindsey Lewis,"4021 Rodney Extensions,South Vickieville, CA 78367",Rosales-Ross,Travel,Low,410,4794,0.085523571,No,28,No
Dr. Miguel Cannon,"USNV Ochoa,FPO AA 18676",Perkins-Anderson,Medical,High,1735,14390,0.12056984,No,28,No
Shane Padilla,"601 Julia Trail Apt. 426,South John, FL 43484",Willis-Espinoza,Travel,Low,732,4794,0.152690864,No,27,No
Mark Smith,"4400 Ashley Via Apt. 293,Brandonbury, HI 52353",Gibson-Malone,Travel,Low,606,4794,0.12640801,No,22,Yes
Scott Calhoun,"07630 Perez Corner,Morseville, FL 46603",Lane-Arnold,Medical,High,1532,14390,0.106462821,No,24,Yes
Ashley Moreno,"6179 Danielle Estate Apt. 227,South Marilyn, NH 24833","Merritt, Smith and Reyes",Medical,High,1501,14390,0.104308548,No,23,Yes
John Gardner,"6809 Mendoza Estates Suite 745,North Catherine, AR 63054","Warner, Campbell and Adams",Medical,High,1534,14390,0.106601807,No,24,Yes
Patrick Romero,"19191 Mitchell Heights Apt. 711,Leslieland, ID 05481",Clark-Tran,Travel,Low,553,4794,0.115352524,No,23,Yes
Nicholas Hayes,"589 Sandra Points,Vasqueztown, AL 40221",Rogers-Park,Other,Very low,52,399,0.130325815,No,22,Yes
Steven Butler,"88962 Wilkerson Drives Apt. 018,West Stacy, CO 97046",Gray LLC,Other,Very low,44,399,0.110275689,No,26,No
Lisa Donovan,"12665 Kristen Land Suite 865,North Steven, CO 84596",Gonzales-Sanders,Medical,High,1356,14390,0.094232106,No,26,No
Patricia Miller,"949 Goodman Road,Jacobport, NJ 68979",Richards-Jenkins,Phone,Medium,251,1875,0.133866667,No,21,Yes
Morgan Bates,"7974 Carol Burgs Apt. 306,Amandabury, KS 51904",Cooper Inc,Medical,High,2113,14390,0.146838082,No,28,No
Steven Johnson,"359 Rodney Spring,South Luis, RI 54655",Castillo Inc,Travel,Low,552,4794,0.11514393,No,21,Yes
Phyllis Kirby,"97104 Russell Land Apt. 330,Mooreberg, NM 67505","Scott, Reeves and Alvarado",Other,Very low,63,399,0.157894737,No,25,No
Bethany Gates,"68448 Angelica Roads,Coleland, MN 33029",Smith and Sons,Other,Very low,60,399,0.15037594,No,28,No
Edward Richardson,"70606 Gamble Square Apt. 268,Lynchville, LA 80343","Guerra, Hunter and Smith",Travel,Low,321,4794,0.066958698,No,19,Yes
Lauren Terry,"0958 Jeffrey Shore Apt. 465,Gabrielchester, RI 16900",Ortiz and Sons,Phone,Medium,226,1875,0.120533333,No,23,Yes
Lacey Brewer,"8622 Sandra Pine Suite 031,South Tommy, NV 11612","Hansen, Bautista and Ibarra",Travel,Low,641,4794,0.133708803,No,19,Yes
Rebecca Brown,"5210 Julie Extensions,Turnerview, TX 11679",Vargas-Walker,Medical,High,1344,14390,0.093398193,No,25,No
Mrs. Sandra Hensley,"253 Leslie Mission Apt. 226,Gibbsmouth, AR 98659","Hernandez, King and Ellis",Travel,Low,507,4794,0.105757196,No,21,Yes
Meredith Thompson,"7319 Dalton Place Suite 629,Lake Robertfurt, KY 64896",Smith and Sons,Medical,High,2244,14390,0.155941626,No,22,Yes
Danielle Jenkins,"452 Bautista Row,Port Annhaven, WV 95520",Martinez-Morgan,Medical,High,1792,14390,0.124530924,No,26,No
Lisa Butler,"427 David Underpass,South Nicholasmouth, DC 03644","Blanchard, Walton and Snyder",Medical,High,1970,14390,0.136900625,No,20,Yes
Joseph Rodriguez,"2641 Cindy Creek Suite 271,Jamestown, WV 68569","Cook, Henry and Hernandez",Phone,Medium,268,1875,0.142933333,No,24,Yes
Anita Poole,"50838 Tyler Path,East Sherylton, GA 31306",Levine-Harris,Travel,Low,897,4794,0.187108886,No,21,Yes
Christopher Jordan,"0493 Kathryn Row Apt. 829,West Allisonfort, VT 91461","Martinez, Peterson and Brennan",Medical,High,1510,14390,0.104933982,No,28,No
William Williams,"53619 Wayne Junction,Melissachester, PA 23014","Collins, Jennings and Ayala",Medical,High,1688,14390,0.117303683,No,26,No
Susan Bullock,"4321 Thompson Parkways Apt. 900,North Taylorbury, HI 79650",Walters-Walker,Travel,Low,813,4794,0.169586984,No,24,Yes
Mariah Moyer,"7374 Baldwin Street,Stephanietown, NY 01898",White-Leonard,Other,Very low,53,399,0.13283208,No,27,No
Marc Beasley,"30121 Sarah Ridges Suite 114,South Jessicaview, KY 14011","Stone, Pineda and Taylor",Medical,High,1501,14390,0.104308548,No,23,Yes
Hector Miles,"78758 Stewart Island,Robertohaven, NH 28013","Navarro, Mejia and Lucas",Medical,High,2263,14390,0.157261987,No,28,No
Erica Walker,"842 Smith Creek,East William, OK 99332",Rios-Jones,Medical,High,1798,14390,0.12494788,No,22,Yes
Keith Martin,"89635 Hall Plain,East Evelynshire, KY 10075","Price, Harris and Perry",Medical,High,1545,14390,0.107366227,No,22,Yes
Cindy Payne,"321 Pierce Flats Apt. 179,Zacharyshire, NY 37379",Miller-Jackson,Medical,High,2245,14390,0.156011119,No,22,Yes
Jason Walters,"PSC 1959, Box 0615,APO AE 72732",Horn PLC,Medical,High,1654,14390,0.114940931,No,28,No
Jennifer Tran,"708 David Lake Suite 668,New Glenburgh, FL 50585","Gonzalez, Martinez and Johnson",Medical,High,1471,14390,0.102223767,No,23,Yes
Robert Freeman,"117 Garcia Valley,North Matthewfurt, MI 09048","Payne, Mckinney and Morse",Travel,Low,480,4794,0.100125156,No,20,Yes
Ashlee Baird,"8245 Isabel Springs,North Robinstad, MA 13477",Prince PLC,Medical,High,2136,14390,0.148436414,No,27,No
Cynthia Cummings,"07793 Cox Motorway,Courtneyton, TN 83879",Nelson-Wagner,Travel,Low,529,4794,0.110346266,No,25,No
Richard Solomon,"30510 Wallace Ridge,East Christopherbury, CO 97814","Morrison, Russell and Wells",Other,Very low,14,399,0.035087719,Yes,24,Yes
Melissa Williams,"4792 Benjamin Brooks,East Emmaborough, WI 90275","Smith, Maldonado and Lee",Travel,Low,507,4794,0.105757196,No,28,No
Aaron Parker,"093 George Divide,Daisymouth, RI 13270",Ramos Inc,Medical,High,1913,14390,0.132939541,No,20,Yes
Chad Burton,"16395 Frye Lodge,Grantbury, TN 16811","Fry, Thompson and Hamilton",Other,Very low,21,399,0.052631579,Yes,28,No
Kristina Calderon,"5228 Sergio Roads Apt. 931,West Crystal, OK 68143","Carrillo, Turner and Alvarez",Medical,High,2094,14390,0.145517721,No,27,No
Theresa Ross,"92296 Petty Knoll,New Anthony, ID 17184",Smith and Sons,Travel,Low,687,4794,0.14330413,No,19,Yes
Jeffrey Smith,"54196 Elijah Street,Potterberg, NV 98431",Collins-Goodwin,Medical,High,2163,14390,0.150312717,No,24,Yes
Cynthia Chen,"2567 Maria Canyon Suite 345,Port Derrick, CO 30145",Austin-Richards,Travel,Low,723,4794,0.150813517,No,18,Yes
Benjamin Schwartz,"21208 Christopher Orchard,Bauertown, AL 81177",Molina-James,Medical,High,1423,14390,0.098888117,No,27,No
Tyler Gardner,"951 Jeanette Fork,Robinsonville, VA 94369","Ross, Reynolds and Velasquez",Medical,High,2084,14390,0.144822794,No,22,Yes
Daniel Hammond,"575 Katelyn View,Anthonymouth, NY 20157",Mitchell LLC,Travel,Low,736,4794,0.15352524,No,18,Yes
Benjamin Fitzgerald,"8375 Allen Track,Allenville, VA 77825",Waller PLC,Phone,Medium,265,1875,0.141333333,No,27,No
Shawna Thompson,"8495 Hull Park,Greggstad, RI 61832","Harper, Smith and Griffin",Other,Very low,67,399,0.167919799,No,24,Yes
Jennifer Morales,"33409 Cheryl Orchard,North Stephen, VA 30504",Lane-Patel,Medical,High,2273,14390,0.157956915,No,20,Yes
Jeremy Wood,"426 Donald Walks Apt. 932,Lake Joshua, WV 53382",Erickson PLC,Travel,Low,352,4794,0.073425115,No,22,Yes
Nicholas Simmons,"11028 Ramirez Field Suite 383,North Kelly, UT 41585","Barker, Bradford and Hines",Medical,High,2071,14390,0.143919388,No,21,Yes
Stephen Wang,"22820 Campbell Fall,Arnoldside, NC 92601","Anderson, Vazquez and Miller",Other,Very low,31,399,0.077694236,No,18,Yes
Tanya Miles,"82878 Cruz Spring Suite 995,West Steven, NH 16306","Mora, Reed and Erickson",Travel,Low,763,4794,0.15915728,No,19,Yes
Stephanie Zamora,"015 Phillips Lodge,Wesleyberg, MI 74126","Smith, Hooper and Jones",Other,Very low,10,399,0.025062657,Yes,24,Yes
Larry Martinez,"35066 Justin Walks Apt. 969,Barnesmouth, OK 98932","Campbell, Morris and Harris",Phone,Medium,268,1875,0.142933333,No,20,Yes
Daniel Thornton,"49733 White Camp Suite 220,New Amandamouth, AL 79080",Calhoun PLC,Travel,Low,736,4794,0.15352524,No,27,No
Alexandra Casey,"USNV Fleming,FPO AP 73017","Rangel, Jackson and Smith",Travel,Low,305,4794,0.063621193,No,22,Yes
Robert Ellis,"Unit 7081 Box 5524,DPO AA 80282",Daugherty LLC,Travel,Low,417,4794,0.08698373,No,26,No
Mary Thompson,"789 Foster Trace,Lake Valeriestad, UT 46403","Nicholson, Powell and Young",Phone,Medium,248,1875,0.132266667,No,26,No
David Perez,"63414 Jennifer Unions Apt. 107,South Marc, IL 98314",Becker-Harrison,Medical,High,1769,14390,0.122932592,No,24,Yes
Kelly Martin DDS,"94830 Connie Walk Apt. 113,Lake Oscar, ME 16962",Paul PLC,Other,Very low,47,399,0.117794486,No,18,Yes
Benjamin Lam,"864 Ray Mission Apt. 506,New Aprilbury, LA 66529",Moore-Russell,Medical,High,2068,14390,0.14371091,No,20,Yes
Krista Weeks,"948 Perez Ridges,North James, OR 09794","Munoz, Howe and Daniels",Medical,High,1992,14390,0.138429465,No,27,No
Danielle Simpson,"81246 Cole Freeway Apt. 351,Lauraview, WA 63671",Scott-Smith,Medical,High,1332,14390,0.092564281,No,22,Yes
Jeffrey Navarro,"811 Hale Expressway Apt. 164,East Michaelland, MO 16783","Montoya, Johnson and Gibbs",Other,Very low,3,399,0.007518797,Yes,24,Yes
Roger Turner,"13164 Amanda Via,West Stephanieborough, CO 86826",Clark-Burgess,Medical,High,2181,14390,0.151563586,No,24,Yes
Raymond Keller,"2949 Gomez Village Apt. 371,East Jessicafort, NV 94395","Rice, Harris and Parsons",Other,Very low,57,399,0.142857143,No,23,Yes
Kirsten Martinez,"9359 Kathleen Well Apt. 828,East Robertchester, SD 16475",Vance and Sons,Phone,Medium,253,1875,0.134933333,No,25,No
Greg Mitchell,"2547 Robert Roads,North Georgebury, MS 32891",White Group,Medical,High,2155,14390,0.149756776,No,24,Yes
Tara Martin,"495 Martinez Corner,Sandovalborough, OK 98898",Farley-Smith,Medical,High,1387,14390,0.096386379,No,24,Yes
Lee Shaw,"Unit 1889 Box 0452,DPO AA 85635",Mills-Wright,Phone,Medium,216,1875,0.1152,No,19,Yes
Steven Hernandez,"56536 Marsh Station,Lake Wendy, MD 17785",Chen-Sims,Medical,High,1618,14390,0.112439194,No,27,No
Elijah Wells,"75581 Juarez Port,New Albertstad, UT 37458",Wiley-May,Other,Very low,14,399,0.035087719,Yes,20,Yes
Susan Mitchell,"050 John Shoals,West Marychester, NE 35307","Fleming, Smith and Lopez",Other,Very low,26,399,0.065162907,No,20,Yes
Wanda King,"900 Jones Summit Suite 245,Ryanville, CA 78250","Joyce, Collins and Matthews",Phone,Medium,201,1875,0.1072,No,24,Yes
Shaun Mason,"4982 Michael Parkway Suite 724,Lake Jennifermouth, OH 52245","Barnes, Mason and Daniels",Medical,High,1618,14390,0.112439194,No,24,Yes
Donald Larson,"11633 Klein Ways,New David, AK 39599",Smith Group,Other,Very low,99,399,0.248120301,No,23,Yes
Sandra Nelson,"246 Heather Parks Apt. 532,West Carolyn, OH 26723",Robinson LLC,Medical,High,1552,14390,0.107852675,No,28,No
Nicole Rogers,"044 Johns Trail Apt. 891,North Austin, ID 20318",Johnson-Haynes,Medical,High,1821,14390,0.126546213,No,24,Yes
Thomas Thomas,"28750 Linda Avenue Apt. 999,Olsonville, IN 15800",Baxter-Walton,Medical,High,1750,14390,0.121612231,No,21,Yes
Michael King Jr.,"3350 Garcia Well Apt. 415,Port Williamside, PA 79704","Thompson, Byrd and Mason",Travel,Low,818,4794,0.170629954,No,26,No
Heidi Campbell,"09040 Thomas Summit,Danaburgh, HI 34201",Vance Inc,Phone,Medium,266,1875,0.141866667,No,24,Yes
Randall Crawford,"5080 Nichols Alley,Schultzview, HI 33413",Payne-Daugherty,Travel,Low,725,4794,0.151230705,No,19,Yes
Rachel Jones,"3744 Harris Stream,Lopezfort, SD 65456","Chavez, Scott and White",Medical,High,1564,14390,0.108686588,No,21,Yes
Christopher Tate,"53494 Arnold Fords Apt. 836,East Jeffreyfurt, FL 83054",Green Inc,Medical,High,2026,14390,0.140792217,No,24,Yes
Kathy Durham,"76396 Perez Drive,Torresside, CA 84102",Lee Group,Medical,High,1591,14390,0.110562891,No,25,No
Katherine Anderson,"119 Russell Fields,East Kenneth, ID 53834",Cobb-Garcia,Medical,High,1630,14390,0.113273106,No,23,Yes
Steve Rodriguez,"261 Miller Estate Suite 864,Goldenburgh, IA 16242","Gardner, Wright and Davis",Phone,Medium,201,1875,0.1072,No,28,No
Darlene Moore,"55986 Walters Plains,East Joshua, DE 58376","Lucero, Gilmore and Davis",Medical,High,2097,14390,0.145726199,No,20,Yes
Kevin Luna,"843 Turner Row,Jillton, AL 08475",Green-Stewart,Medical,High,2104,14390,0.146212648,No,22,Yes
James Grant,"161 Cardenas Stream,Christinemouth, CA 95504",Harris PLC,Medical,High,1947,14390,0.135302293,No,22,Yes
Michael Martin,"7955 Ellis Branch Suite 028,North Dana, MN 18594",Thomas-Hobbs,Medical,High,2291,14390,0.159207783,No,18,Yes
Glenn Clements,"516 Thomas Fort Suite 036,New Nicole, UT 77845",Brown-Ford,Medical,High,1368,14390,0.095066018,No,25,No
Troy Coleman,"88690 Ryan Canyon,Morrisstad, OK 32904",Ward LLC,Phone,Medium,231,1875,0.1232,No,24,Yes
Tammy Summers,"0173 Webb View,Lake Michaelton, VT 47811","Mays, Hanson and Carpenter",Travel,Low,311,4794,0.064872758,No,28,No
Lauren Mcintosh,"399 Kenneth Junction,Clarkton, NV 79572","Herman, Pierce and Brown",Medical,High,1821,14390,0.126546213,No,23,Yes
Angela Molina,"0647 Thomas Flats,New Taylor, KS 07854",Lowe-Roberts,Medical,High,1583,14390,0.110006949,No,21,Yes
Christine Wheeler,"46452 Devin Forges Apt. 919,East Moniqueshire, FL 29678",Woods Group,Travel,Low,878,4794,0.183145599,No,24,Yes
Austin Martinez,"90088 Gregory Branch,Joyfurt, NH 15732",Bell-Cruz,Medical,High,1850,14390,0.128561501,No,21,Yes
Ashley Mitchell,"282 Moreno Flats Suite 945,Josephhaven, LA 79618",King-Adams,Other,Very low,59,399,0.147869674,No,26,No
Dana Sullivan,"312 Bryant Expressway,Josephview, MN 14674","Clay, Petersen and Smith",Medical,High,1868,14390,0.12981237,No,22,Yes
Gavin Allen,"0616 Jason Mountain Suite 283,East Robertshire, GA 20652",Mccormick-Roman,Medical,High,2290,14390,0.15913829,No,18,Yes
Brittany Campbell,"946 Gary Isle,Tammychester, FL 29848","Young, Young and Young",Other,Very low,37,399,0.09273183,No,19,Yes
Stephanie Sandoval,"USCGC Wheeler,FPO AA 46072",Butler-Edwards,Medical,High,1881,14390,0.130715775,No,25,No
Sheri Huff,"85898 John Knolls Suite 408,Henrymouth, ND 98284",Carrillo-Castro,Travel,Low,838,4794,0.174801836,No,22,Yes
Tony Murray,"89731 Collin Summit Suite 680,New Joseton, MI 15693","Garcia, Thomas and Richards",Medical,High,1481,14390,0.102918694,No,20,Yes
Catherine Walker,"82620 Victoria Highway Apt. 887,Clintonhaven, NE 66748","Robinson, Cooper and Robertson",Phone,Medium,262,1875,0.139733333,No,20,Yes
David Monroe,"38194 Joseph Oval Suite 533,Lake Danielle, ND 18099","Stuart, Brown and Davis",Other,Very low,8,399,0.020050125,Yes,26,No
Warren Weaver,"2771 Garcia Unions,Mercadoton, TX 60362","Rice, Jones and York",Medical,High,1766,14390,0.122724114,No,25,No
Travis Thompson,"343 John Views,North Alan, IN 62920","Smith, Gill and Dominguez",Medical,High,1484,14390,0.103127172,No,18,Yes
Angel Duncan,"1443 Walker Walk,West Tinabury, PA 39761","Myers, Foster and Fox",Medical,High,1518,14390,0.105489924,No,26,No
Kevin Christian,"5235 Gallegos Cape,Jasonburgh, VT 23543","Pollard, Cruz and Stewart",Phone,Medium,225,1875,0.12,No,24,Yes
Hannah Reynolds,"123 Sierra Curve Suite 231,New Jamie, CA 45219","Wang, Martin and Malone",Other,Very low,31,399,0.077694236,No,21,Yes
David Taylor,"393 Miranda Mews Apt. 902,East Christopher, SC 64610","Knox, Brown and Delgado",Medical,High,1912,14390,0.132870049,No,27,No
Alice Thompson,"20293 Clarke Isle,East Heathermouth, ND 59769",Rodriguez and Sons,Travel,Low,520,4794,0.108468919,No,19,Yes
Gabriel Ramirez DDS,"USNV Bush,FPO AE 55075",Rodriguez and Sons,Phone,Medium,241,1875,0.128533333,No,28,No
Elizabeth Small,"8676 Breanna Locks Apt. 124,Lake Kathyburgh, ME 64378","Hopkins, Little and Vargas",Other,Very low,12,399,0.030075188,Yes,24,Yes
Matthew Miller,"Unit 6111 Box 7999,DPO AP 75208",Daniel-Hanson,Travel,Low,745,4794,0.155402587,No,28,No
Steven Ortiz,"7653 Jones Track,Owensfort, TX 05331","Rogers, Copeland and Rogers",Medical,High,1925,14390,0.133773454,No,23,Yes
Alicia Watson,"030 Megan Tunnel Apt. 108,South Alexahaven, SC 19047","Norris, Boone and Chavez",Travel,Low,484,4794,0.100959533,No,26,No
Blake Wilkinson,"5160 Yolanda Isle Suite 956,New Amandaton, WV 49813","Villanueva, Garcia and Sharp",Phone,Medium,230,1875,0.122666667,No,24,Yes
Benjamin Moore,"3272 Nelson Valley,Burgessville, CT 10141",Parker-Wilson,Other,Very low,70,399,0.175438596,No,20,Yes
Dorothy Andrade,"39242 Lewis Ways Apt. 166,South Amy, AR 42827",Vaughn Ltd,Medical,High,2284,14390,0.158721334,No,19,Yes
Rebecca Ford,"621 Yates Creek,East Blakeshire, MS 22579",Hendricks-Gonzalez,Medical,High,2088,14390,0.145100764,No,24,Yes
Annette Walker,"73281 Linda Terrace,Joshuaville, WV 65561",Wilson-Brown,Medical,High,1946,14390,0.135232801,No,27,No
Leah Mcdaniel,"882 Michael Ridge,Spencerberg, PA 87231",Rodriguez-Rhodes,Other,Very low,8,399,0.020050125,Yes,26,No
Yvonne Koch,"011 Robert Parkway,Smithport, TX 33791","Harrison, Carter and Ho",Medical,High,1311,14390,0.091104934,No,27,No
Jeanette Cook,"60233 Jones Plaza,New Amanda, UT 14388","Garcia, Farrell and Spencer",Medical,High,2294,14390,0.159416261,No,24,Yes
Joseph Adams,"354 Clifford Dale,West Sandraburgh, TX 77989",Potts-Ellis,Travel,Low,644,4794,0.134334585,No,20,Yes
Dawn Price,"427 Green Drives,Cynthiaton, NH 63862",Wilson-Benton,Medical,High,1381,14390,0.095969423,No,28,No
Debra Lindsey,"3642 Anderson Key,Andreaburgh, AK 36713",Cole Inc,Other,Very low,94,399,0.235588972,No,27,No
Joseph Stevens,"620 Taylor Crossroad,East Michael, NH 03372",Roberts PLC,Phone,Medium,251,1875,0.133866667,No,26,No
Larry Flores,"13834 Jenna Meadows,Mitchellmouth, TX 01436",Fuller Ltd,Medical,High,1601,14390,0.111257818,No,24,Yes
Danielle Khan,"PSC 0005, Box 4863,APO AE 13166","Elliott, Harvey and Kaufman",Medical,High,2270,14390,0.157748436,No,19,Yes
Allison Parrish,"918 Jason Heights,South Calebport, AZ 70496",Young-Wilson,Medical,High,1780,14390,0.123697012,No,18,Yes
Gina Moore,"99716 Mark Run,Bergerfurt, NH 25968",Cervantes Group,Phone,Medium,233,1875,0.124266667,No,20,Yes
William Welch,"54918 Sheila Course,Brownton, ND 29576",Holland-Thompson,Medical,High,1505,14390,0.104586518,No,22,Yes
Danielle Lee,"874 Davis Shoal Apt. 471,New Wesley, AL 11530",Harrison and Sons,Medical,High,1374,14390,0.095482974,No,19,Yes
James Fischer,"7400 Schmitt Keys Suite 610,New Kimberly, VA 11890",Le-Becker,Other,Very low,52,399,0.130325815,No,20,Yes
Stanley Morris,"84306 Jones Lodge,New Deannachester, HI 39490",Harvey Group,Travel,Low,417,4794,0.08698373,No,23,Yes
Shawn Hernandez,"PSC 2530, Box 6270,APO AE 72212",Martin and Sons,Phone,Medium,227,1875,0.121066667,No,26,No
Brenda Arnold,"0027 Heather Falls,South Stevenville, OH 76900","Williams, Morrison and Jackson",Medical,High,1357,14390,0.094301598,No,28,No
Sherri Booth,"1778 Strong Estate Suite 592,Fowlerland, WI 39031",Gould-Smith,Medical,High,2080,14390,0.144544823,No,28,No
Angela Smith,"44703 Ashley Trail,Nicholasfort, LA 93497","Black, Ward and Stein",Medical,High,1650,14390,0.11466296,No,24,Yes
Peggy Torres,"507 Stephanie Ramp,New Mitchell, TN 88359",Marquez-Miller,Medical,High,2135,14390,0.148366921,No,21,Yes
Adam Nichols,"3468 Walsh Manors Suite 624,Marcusberg, MN 25470",Keller-Kemp,Travel,Low,778,4794,0.162286191,No,28,No
Steve Howard,"6512 Samuel Mall Apt. 846,Kleinton, NH 76186","Nielsen, Ross and Walters",Phone,Medium,215,1875,0.114666667,No,23,Yes
James Bright,"16959 Kelly Center,Petersonhaven, OH 18187",Arias-Howard,Phone,Medium,267,1875,0.1424,No,27,No
Charles Mckenzie,"884 Ann Cliff,Wilcoxside, WA 28018",Williamson PLC,Medical,High,1367,14390,0.094996525,No,24,Yes
Jessica Perry,"256 Allen Ferry Suite 330,East Joel, MN 71066",Banks Inc,Travel,Low,755,4794,0.157488527,No,20,Yes
Beth Hayes,"4149 Rodriguez Trace Apt. 692,New Kimberlyton, MO 56403",Burgess PLC,Travel,Low,679,4794,0.141635378,No,20,Yes
Melissa Bennett,"2947 Flynn Cliffs,North Daniel, WV 74751","Wagner, Cross and Gibbs",Travel,Low,441,4794,0.091989987,No,19,Yes
Courtney Gonzales,"USCGC Walsh,FPO AA 01863",Kelley-Garcia,Travel,Low,806,4794,0.168126825,No,23,Yes
Gina Martinez,"08086 Moore Islands Suite 984,Stephaniestad, HI 17839","Jones, Browning and Farmer",Medical,High,1350,14390,0.093815149,No,25,No
Megan Paul,"316 Rice Street Apt. 850,Joport, NY 90398",Moreno LLC,Other,Very low,83,399,0.20802005,No,27,No
Shawn Rodriguez,"011 Bush Curve Suite 680,Crossberg, CA 31293",Clay Inc,Medical,High,1805,14390,0.125434329,No,28,No
Scott Tate,"25066 Jessica Orchard,Kurtberg, OR 22158","Aguilar, Thomas and Sanchez",Medical,High,1919,14390,0.133356498,No,25,No
Kimberly Nielsen,"30479 Deborah Station Apt. 264,Ibarrafort, FL 75998",Porter-Brown,Phone,Medium,213,1875,0.1136,No,23,Yes
Rachel Martin DDS,"486 Pittman Manor,Port Rachelfurt, VA 07605",Chapman-Turner,Medical,High,1809,14390,0.1257123,No,19,Yes
Sydney Meyer,"14394 Johnston Lodge Apt. 935,East Sarah, MO 68657",Williams LLC,Travel,Low,450,4794,0.093867334,No,22,Yes
James Tran,"Unit 4453 Box 7827,DPO AP 57942","Gutierrez, Sanchez and Lee",Medical,High,1825,14390,0.126824183,No,22,Yes
Jonathan Mcdonald,"28001 Thomas Loop,New Andrea, NM 05370",Lambert PLC,Medical,High,1889,14390,0.131271716,No,23,Yes
Alvin Barnes,"34162 Gonzalez Fords Suite 266,Andreafort, FL 91756","Smith, Lewis and Morris",Travel,Low,464,4794,0.096787651,No,23,Yes
Ronald Blake,"5449 Kimberly Crest,Johnsonhaven, ME 28059","Best, Wilson and Sanchez",Other,Very low,33,399,0.082706767,No,25,No
Leslie Meyers,"7246 Davis Locks,Christinaton, IN 16660",Heath-Wallace,Other,Very low,94,399,0.235588972,No,25,No
Michael Brown,"390 Kenneth Port Apt. 863,Nicholaschester, MD 47229",Craig Ltd,Travel,Low,866,4794,0.18064247,No,21,Yes
Patricia Gutierrez,"7943 Sandra Fields,Gonzalezshire, WI 63565","Spence, Mcdaniel and Evans",Other,Very low,98,399,0.245614035,No,24,Yes
Steven Thomas,"1607 Valerie Landing,New Edward, KS 52903",Ward-Hernandez,Other,Very low,83,399,0.20802005,No,20,Yes
Dawn Contreras,"0554 Andrews Spur Apt. 797,Heatherborough, NC 87522",Warner-Charles,Medical,High,1611,14390,0.111952745,No,28,No
Sophia Reyes,"52303 Mills Field Suite 978,West Mark, VT 49089",Oconnell Ltd,Travel,Low,383,4794,0.079891531,No,20,Yes
Michael Cummings,"6356 Logan Drive,Whitneyland, NH 23694",Cox-Santos,Other,Very low,50,399,0.125313283,No,26,No
Andrea Green,"584 Russell Lodge,Richardhaven, NV 08915",Hughes-Schultz,Medical,High,1821,14390,0.126546213,No,21,Yes
